"koi_disposition","kepid","kepoi_name","tce_dor","tce_sradius_prov","tce_fwm_pdeco","tce_incl_sn","tce_albedo_sn"
"CANDIDATE",11446443,"K00001.01",7.9017478,0,0.0007788,15070.0682716493,5.35276491419232
"CANDIDATE",10666592,"K00002.01",3.7582834,0,0,1598.52999602702,14.5565217391304
"CANDIDATE",10748390,"K00003.01",14.524126,0,0.0008108,579.46017116524,1.77998472116119
"CANDIDATE",3861595,"K00004.01",5.1382499,0,0.0001224,559.170765987351,2.09368111682586
"CANDIDATE",8554498,"K00005.01",7.1782026,0,-0.0001082,984.223736106131,2.18387230514096
"FALSE POSITIVE",3248033,"K00006.01",2.1533022,0,-0.003615,2.25146804835924,1.51661934190747
"CANDIDATE",11853905,"K00007.01",4.026869,0,5.112e-05,53.166779203241,1.91618734593262
"FALSE POSITIVE",5903312,"K00008.01",3.0782931,0,-0.0004966,4.72186287192755,0.938072159396877
"FALSE POSITIVE",11553706,"K00009.01",3.7849212,0,0.01866,676.95067264574,2.00492004920049
"CANDIDATE",6922244,"K00010.01",6.9276479,0,0.0003616,1581.17249154453,3.61147327249022
"FALSE POSITIVE",11913073,"K00011.01",2.2471655,0,0.004598,90.9862742323475,3.28438228438228
"CANDIDATE",5812701,"K00012.01",19.324694,0,-0.0009708,2746.53526331999,1.53668590272053
"CANDIDATE",9941662,"K00013.01",3.8879931,0,0,1120.63753778511,1.65009810333551
"FALSE POSITIVE",7684873,"K00014.01",3.8052465,0,5.322e-05,496.565389696169,2.85386029411765
"FALSE POSITIVE",3964562,"K00015.01",2.7150566,0,0,80.4680150517404,2.34445603058742
"FALSE POSITIVE",9110357,"K00016.01",1.2951693,0,0.06975,7.56853847608244,0.810433295324972
"CANDIDATE",10874614,"K00017.01",7.543308,0,0.0008648,30.8304735758408,3.06960352422908
"CANDIDATE",8191672,"K00018.01",6.4381651,0,-0.000686,7.50041701417848,5.09624197983501
"FALSE POSITIVE",7255336,"K00019.01",2.5088119,0,-2.683e-05,564.858096828047,2.17864256166692
"CANDIDATE",11804465,"K00020.01",8.095565,0,8.806e-05,0.698757763975155,2.73095623987034
"FALSE POSITIVE",10125352,"K00021.01",6.6515913,0,-0.00363,316.608323609491,1.78345450972686
"CANDIDATE",9631995,"K00022.01",13.654196,0,0.0009601,1552.94740557713,2.19827586206897
"FALSE POSITIVE",9071386,"K00023.01",7.4043902,0,-1.322e-05,2112.50603573153,4.48660714285714
"FALSE POSITIVE",4743513,"K00024.01",4.0585341,0,0.008371,593.745173745174,2.00150943396226
"FALSE POSITIVE",10593759,"K00025.01",4.0798658,0,-8.061e-05,437.759815242494,1.6140350877193
"FALSE POSITIVE",5021737,"K00026.01",11.195662,0,-0.006092,85.4353296426774,2.34928409947249
"FALSE POSITIVE",3832716,"K00027.01",5.2597108,0,0,-88.91,0
"FALSE POSITIVE",4247791,"K00028.01",2.4965203,0,0.02054,1190.33799931717,0
"FALSE POSITIVE",6956014,"K00031.01",1.8313202,0,3.581e-05,13.3186522792336,0
"FALSE POSITIVE",5725087,"K00033.01",2.3013559,0,-5.153e-05,4.31016731016731,0
"CANDIDATE",6521045,"K00041.01",9.3847754,0,-0.0001281,44.3639207507821,2.8101402373247
"CANDIDATE",6521045,"K00041.02",5.295355,0,-5.996e-05,11.5900549291703,2.2768
"CANDIDATE",6521045,"K00041.03",19.566959,0,-5.045e-05,43.5343968095713,2.50801796023092
"CANDIDATE",8866102,"K00042.01",14.442833,0,0.0001457,269.470404984424,2.34213197969543
"FALSE POSITIVE",9025922,"K00043.01",11.133894,1,0.06295,250.630683484893,17.0551137921579
"FALSE POSITIVE",8845026,"K00044.01",27.370213,0,-0.001799,2724.16946053033,2.65632273079907
"FALSE POSITIVE",3742855,"K00045.01",7.1156535,1,-0.05663,1518.84740848133,45.6437704430568
"CANDIDATE",10905239,"K00046.01",5.1037458,0,-7.65e-05,55.3445945945946,1.64769647696477
"CANDIDATE",10905239,"K00046.02",5.5083592,0,2.684e-05,2.31716417910448,0.701631046119235
"FALSE POSITIVE",7837302,"K00048.01",24.307847,0,-0.0006494,3459.77917981073,1.14720141031291
"CANDIDATE",9527334,"K00049.01",13.136569,0,8.647e-06,77.9891794409378,2.57949041903559
"FALSE POSITIVE",6056992,"K00051.01",16.46754,1,0.04291,640.946045824094,1.96080910240202
"FALSE POSITIVE",3558981,"K00052.01",8.7316821,0,-0.003217,5562.98701298701,5.444216800149
"FALSE POSITIVE",2445975,"K00053.01",7.923965,1,-0.00428,687.388120423108,8.87024608501119
"FALSE POSITIVE",8248939,"K00061.01",2.757259,0,-0.0036,10.5294467578822,1.94885485457356
"CANDIDATE",11554435,"K00063.01",20.055322,0,-9.444e-05,1245.85987261146,3.04045438738843
"CANDIDATE",7051180,"K00064.01",4.7654583,0,7.244e-05,122.937062937063,6.89207006969297
"FALSE POSITIVE",10620329,"K00066.01",4.2481216,0,-2.884e-05,26.8357487922705,2.45488721804511
"FALSE POSITIVE",8669092,"K00068.01",4.0034094,0,-5.345e-05,-88.57,0
"CANDIDATE",3544595,"K00069.01",6.2776351,0,1.635e-05,79.9122807017544,2.21192516174156
"CANDIDATE",6850504,"K00070.01",14.860132,0,-5.514e-05,164.357183311308,0.0734355573974306
"CANDIDATE",6850504,"K00070.02",5.7534736,0,2.923e-05,36.9136363636364,0.952414275717285
"CANDIDATE",6850504,"K00070.03",57.073657,0,0.0001024,379.023354564756,3.44300518134715
"CANDIDATE",6850504,"K00070.04",7.370089,0,2.47e-05,7.51131221719457,1.47204354280059
"CANDIDATE",6850504,"K00070.05",20.975874,0,-4.405e-05,14.4712491738268,0.909791827293755
"CANDIDATE",11904151,"K00072.01",34.823713,0,6.128e-05,214.003374307062,3.3477508650519
"CANDIDATE",11904151,"K00072.02",2.0153747,0,-2.284e-05,3.13748763600396,1.14714151827554
"FALSE POSITIVE",6889235,"K00074.01",6.1537982,0,-4.611e-05,290.330434782609,2.29595728451564
"CANDIDATE",7199397,"K00075.01",37.235515,0,-0.0008328,1304.33509080258,2.35478547854785
"FALSE POSITIVE",9955262,"K00076.01",53.155465,0,-0.0007428,729.934747145188,1.86085720089376
"FALSE POSITIVE",9552608,"K00080.01",6.705284,0,-6.04e-05,258.47619047619,1.3453111305872
"FALSE POSITIVE",8823868,"K00081.01",20.030462,0,-0.000332,1.76125244618395,2.40733944954128
"CANDIDATE",10187017,"K00082.01",19.639035,0,-3.555e-05,396.378451788139,0.810312732688012
"CANDIDATE",10187017,"K00082.02",11.45274,0,1.449e-05,68.9516129032258,2.29124647035095
"CANDIDATE",10187017,"K00082.03",27.504318,0,2.79e-05,42.718023255814,1.56055900621118
"CANDIDATE",10187017,"K00082.04",8.8123763,0,2.566e-05,11.085495982084,1.53794326241135
"CANDIDATE",10187017,"K00082.05",6.8084833,0,-2.593e-05,6.21962264150943,1.13052208835341
"CANDIDATE",10187017,"K00082.06",63.679173,0,-3.415e-05,40.980751604033,1.01687643020595
"CANDIDATE",2571238,"K00084.01",10.318533,0,-1.688e-05,249.779864983857,3.24121212121212
"CANDIDATE",5866724,"K00085.01",5.3502954,0,-6.693e-05,92.0787545787546,2.26296818680458
"CANDIDATE",5866724,"K00085.02",2.5216355,0,-1.214e-05,8.49084429150793,0.803476946334089
"CANDIDATE",5866724,"K00085.03",6.5729505,0,-2.972e-05,21.7045454545455,2.49490498485266
"CANDIDATE",10593626,"K00087.01",184.00766,0,-6.895e-05,893.824701195219,2.36708860759494
"FALSE POSITIVE",7700871,"K00088.01",3.1854186,0,-0.0002737,6.22118644067797,1.30191256830601
