"koi_disposition","kepid","kepoi_name","X","tce_ldm_coeff4","tce_maxmesd","tce_fwm_prao","tce_fwm_pdeco","tce_dikco_mra_sn","tce_dikco_mdec_sn"
"CANDIDATE",11446443,"K00001.01",0,-0.1782834,1.234,-0.0001223,0.0007788,0.2104329004329,-1.63672727272727
"CANDIDATE",10666592,"K00002.01",1,0.143404,1.097,-0.001754,0,2.933381712627,-7.13151750972763
"CANDIDATE",10748390,"K00003.01",2,-0.5566952,3.029,0.001684,0.0008108,-2.86035714285714,1.59271047227926
"CANDIDATE",3861595,"K00004.01",3,0.2503962,1.904,0.0001896,0.0001224,-0.669203296703297,-1.00877124183007
"CANDIDATE",8554498,"K00005.01",4,-0.1416996,-0.4,8.928e-05,-0.0001082,-1.75523415977961,-0.184531615925059
"FALSE POSITIVE",3248033,"K00006.01",5,0.0680724,0.4323,0,-0.003615,0,0
"CANDIDATE",11853905,"K00007.01",6,-0.2643414,2.246,-0.0001967,5.112e-05,2.36935064935065,0.897843915343915
"FALSE POSITIVE",5903312,"K00008.01",7,-0.13752,-0.1563,0.003678,-0.0004966,-106.959243085881,51.265785609398
"FALSE POSITIVE",11553706,"K00009.01",8,0.2483146,1.855,-0.01863,0.01866,51.3644314868805,-57.963924963925
"CANDIDATE",6922244,"K00010.01",9,0.100687,1.769,1.319e-05,0.0003616,-0.421292719167905,2.58211143695015
"FALSE POSITIVE",11913073,"K00011.01",10,-0.3837206,1.885,-0.0007874,0.004598,1.649300155521,-12.1279826464208
"CANDIDATE",5812701,"K00012.01",11,0.2255588,-3.263,0.0004751,-0.0009708,-0.240537688442211,0.739277108433735
"CANDIDATE",9941662,"K00013.01",12,-0.0173088,0.8823,0,0,2.94166666666667,6.58276836158192
"FALSE POSITIVE",7684873,"K00014.01",13,-0.0755976,1.497,0.0005353,5.322e-05,-18.8420765027322,-2.81089820359281
"FALSE POSITIVE",3964562,"K00015.01",14,-0.0413108,1.504,0.092,0,-135.923741007194,3.52115942028985
"FALSE POSITIVE",9110357,"K00016.01",15,-0.0349994,-0.2172,0.04832,0.06975,-79.4314516129032,-109.756868131868
"CANDIDATE",10874614,"K00017.01",16,-0.4132352,1.647,0.00086,0.0008648,1.05943641618497,2.50057306590258
"CANDIDATE",8191672,"K00018.01",17,0.114724,1.778,0.0004054,-0.000686,-0.0401748878923767,0.383323442136499
"FALSE POSITIVE",7255336,"K00019.01",18,0.1757876,0.8031,0.0004573,-2.683e-05,-0.240134589502019,2.27342657342657
"CANDIDATE",11804465,"K00020.01",19,-0.1170738,2.204,-4.892e-05,8.806e-05,-0.61518776077886,-1.06941089837997
"FALSE POSITIVE",10125352,"K00021.01",20,0.3816488,2.145,-0.006036,-0.00363,24.0982019363762,10.8252217997465
"CANDIDATE",9631995,"K00022.01",21,-0.1986934,4.309,0.001755,0.0009601,-1.10876488095238,-2.12077151335312
"FALSE POSITIVE",9071386,"K00023.01",22,0.055778,2.35,-0.000133,-1.322e-05,1.93784570596798,-0.470714285714286
"FALSE POSITIVE",4743513,"K00024.01",23,0.3949304,1.042,0.02495,0.008371,-58.0625,-22.3970802919708
"FALSE POSITIVE",10593759,"K00025.01",24,0.0944608,1.594,-4.409e-05,-8.061e-05,0.618522388059701,1.3518086696562
"FALSE POSITIVE",5021737,"K00026.01",25,0.2180108,8.106,0.04122,-0.006092,-65.5474777448071,8.35866084425036
"FALSE POSITIVE",3832716,"K00027.01",26,0.2244832,0.5708,0,0,-0.612064896755162,0.00117076005961252
"FALSE POSITIVE",4247791,"K00028.01",27,-0.1204504,1.254,0.02208,0.02054,0.45952802359882,0.087730985915493
"FALSE POSITIVE",6956014,"K00031.01",28,-0.5192744,0.4094,-1.231e-05,3.581e-05,0.916186895810956,1.59386243386243
"FALSE POSITIVE",5725087,"K00033.01",29,-0.4798396,0.375,3.992e-05,-5.153e-05,-0.58125,2.5618
"CANDIDATE",6521045,"K00041.01",30,-0.231108,8.947,0.0001068,-0.0001281,-2.11040816326531,1.48238249594814
"CANDIDATE",6521045,"K00041.02",31,-0.231108,3.44,-3.921e-06,-5.996e-05,-2.16606060606061,2.26572327044025
"CANDIDATE",6521045,"K00041.03",32,-0.231108,13.27,-6.725e-06,-5.045e-05,0.125323754789272,-0.624764150943396
"CANDIDATE",8866102,"K00042.01",33,0.1482676,6.561,0.0002523,0.0001457,1.68732782369146,0.537312961011591
"FALSE POSITIVE",9025922,"K00043.01",34,-0.2420112,8.339,0.09774,0.06295,-102.267543859649,-68.0627737226277
"FALSE POSITIVE",8845026,"K00044.01",35,-0.261181,21.75,0.004064,-0.001799,-0.921253196930946,-0.907493472584856
"FALSE POSITIVE",3742855,"K00045.01",36,-0.2420112,3.162,0.04568,-0.05663,29.9742198100407,79.5251798561151
"CANDIDATE",10905239,"K00046.01",37,-0.4268546,2.35,-0.0001073,-7.65e-05,0.372426367461431,1.82691218130312
"CANDIDATE",10905239,"K00046.02",38,-0.4268546,2.343,5.168e-05,2.684e-05,0.553897260273973,0.495086538461538
"FALSE POSITIVE",7837302,"K00048.01",39,0.2369668,4.114,4.268e-05,-0.0006494,1.0634375,0.812195845697329
"CANDIDATE",9527334,"K00049.01",40,-0.2000496,4.638,0.0001002,8.647e-06,0.10642277486911,0.100731543624161
"FALSE POSITIVE",6056992,"K00051.01",41,-0.2420112,6.078,0.01613,0.04291,-14.5125,-22.023709902371
"FALSE POSITIVE",3558981,"K00052.01",42,-0.510584,1.496,0,-0.003217,0.403060921248143,-1.35790801186944
"FALSE POSITIVE",2445975,"K00053.01",43,-0.2420112,0.2292,0.004894,-0.00428,-11.6925742574257,9.63225806451613
"FALSE POSITIVE",8248939,"K00061.01",44,0.1830984,0.946,0.003007,-0.0036,-53.5662983425414,58.8320105820106
"CANDIDATE",11554435,"K00063.01",45,-0.3772572,4.981,2.272e-05,-9.444e-05,2.09323204419889,2.58759036144578
"CANDIDATE",7051180,"K00064.01",46,-0.4629688,0.975,2.265e-05,7.244e-05,-1.37746164574616,-2.37091988130564
"FALSE POSITIVE",10620329,"K00066.01",47,-0.0288688,0.4413,0,-2.884e-05,2.10065400843882,0.41135046728972
"FALSE POSITIVE",8669092,"K00068.01",48,0.500954,0.5958,-3.973e-06,-5.345e-05,-4.29068062827225,-2.3537962962963
"CANDIDATE",3544595,"K00069.01",49,-0.2333168,2.789,-2.044e-05,1.635e-05,-2.39289176090469,3.25606820461384
"CANDIDATE",6850504,"K00070.01",50,-0.425326,1.274,-2.59e-05,-5.514e-05,-0.95019758507135,-2.31332665330661
"CANDIDATE",6850504,"K00070.02",51,-0.425326,0.6302,2.398e-05,2.923e-05,-1.37552836484983,-3.75118811881188
"CANDIDATE",6850504,"K00070.03",52,-0.425326,44.5,4.252e-05,0.0001024,0.91177304964539,-1.63867298578199
"CANDIDATE",6850504,"K00070.04",53,-0.425326,1.469,-9.707e-06,2.47e-05,0.654769230769231,2.18707070707071
"CANDIDATE",6850504,"K00070.05",54,-0.425326,7.097,3.076e-05,-4.405e-05,0.0784230769230769,1.12169572107765
"CANDIDATE",11904151,"K00072.01",55,-0.22916,16.09,-1.762e-05,6.128e-05,-2.45654545454545,2.82745098039216
"CANDIDATE",11904151,"K00072.02",56,-0.22916,-0.1687,5.24e-06,-2.284e-05,-3.24601990049751,4.37492163009404
"FALSE POSITIVE",6889235,"K00074.01",57,-0.0129728,2.588,9.049e-05,-4.611e-05,-2.28511764705882,0.194876984126984
"CANDIDATE",7199397,"K00075.01",58,0.033182,61.63,0.0007389,-0.0008328,-1.81451814768461,1.55611650485437
"FALSE POSITIVE",9955262,"K00076.01",59,0.2657672,50.09,-0.001127,-0.0007428,1.62876712328767,2.83074753173484
"FALSE POSITIVE",9552608,"K00080.01",60,-0.0283656,6.027,-1.973e-05,-6.04e-05,0.773165467625899,-0.451093457943925
"FALSE POSITIVE",8823868,"K00081.01",61,-0.0199872,11.94,0.000319,-0.000332,-3.81276315789474,-2.62636363636364
