"koi_disposition","kepid","kepoi_name","tce_period","tce_time0bk","tce_depth","tce_ldm_coeff1","tce_ldm_coeff2","tce_ldm_coeff3","tce_num_transits","tce_model_snr","tce_robstat","tce_dof1","tce_chisq1","tce_chisqgofdof","tce_sma","tce_smet","tce_steff_prov","tce_smet_prov","tcet_period","tcet_time0bk","tcet_time0","tcet_duration","tcet_model_dof","wst_robstat","tce_maxmes","tce_max_mult_ev","tce_ptemp_stat","boot_fap","boot_messtd","tce_rb_tpdur","tce_rb_tcount0","tce_rb_tcount2","tce_fwm_sdec","tce_fwm_prao","tce_dicco_mdec","tce_dikco_mra","tce_dikco_msky","tce_time0bk_sn","tce_time0_sn","tce_prad_sn","tce_sma_sn","tce_sradius_sn","tce_ptemp_sn","tce_fwm_sra_sn","tce_dicco_mra_sn","tce_dikco_mdec_sn","tce_dikco_msky_sn"
"CANDIDATE",11446443,"K00001.01",2.47061,132.646,14220,0.4685532,0.221888,0.2269022,432,6930,6143,3420,283100,1375,0.03542,-0.06,0,0,2.47061,132.645,2454970,1.732,10140,5.143,5.833,6468,-8.432,0,1.0707,3,381,0,49.31643,-0.0001223,-0.29656,0.014583,0.27045,33158184.1815818,613681131886.811,25.3591266040988,31.1521547933157,25.3684210526316,21.1627266467753,415664434.782609,-0.128975073313783,-1.63672727272727,1.63909090909091
"CANDIDATE",10666592,"K00002.01",2.20473,132.383,6676,0.4179966,0.639823,-0.4934448,611,3565,3413,5382,176900,4536,0.03755,0.14,0,0,2.20473,132.383,2454970,4.038,32150,34.46,42.41,3862,-0.4252,-1,-1,6,529,5,47.969308,-0.001754,-3.2868,2.0211,4.1859,12514581.7380865,232076042464.29,17.7434704451729,22.0752498530276,17.7454545454545,64.911887215636,332477184.300341,3.87870855148342,-7.13151750972763,5.61112600536193
"CANDIDATE",10748390,"K00003.01",4.8878,134.589,4365,0.7185774,-0.7821432,1.4623702,215,1792,1697,1836,34240,941,0.05294,0.32,1,1,4.88779,134.591,2454970,2.569,6752,1.704,2.49,2035,0.4827,0,1.1584,6,181,3,48.081645,0.001684,-2.2709,-4.0045,4.2945,7458107.05973623,136039565554.694,26.8554790894653,27.093142272262,27.25,7.08740105540897,68439120.6896552,-3.78266666666667,1.59271047227926,3.70215517241379
"CANDIDATE",3861595,"K00004.01",3.84938,134.43,1288,0.3111566,0.894701,-0.7626226,276,228.8,201.5,2421,2303,1244,0.05482,-0.16,2,2,3.84936,134.433,2454970,2.677,8884,9.54,10.43,235.6,2.725,0,1.0647,6,251,1,38.94734,0.0001896,-0.032389,-0.048718,0.091262,1008734.41087749,18421577896.8379,3.08238636363636,3.33861144945189,3.08135942327497,31.6160518098763,43901049.2170022,-1.06839883551674,-1.00877124183007,1.20876821192053
"CANDIDATE",8554498,"K00005.01",4.78033,132.974,961,0.4959136,0.2237064,0.1672364,280,358,339.6,2457,2709,997,0.05899,0.16,3,3,4.7803,132.978,2454970,2.04,6749,1.999,2.554,360.2,0.3914,0,1.041,3,221,11,44.647406,8.928e-05,0.11319,-0.12743,0.1284,1188445.69171232,21941120217.3583,13.5176069670579,18.3941378235111,13.5378787878788,8.76674793916173,20769872.0430108,-2.14153846153846,-0.184531615925059,1.79329608938547
"FALSE POSITIVE",3248033,"K00006.01",1.33413,132.365,49.75,0.3917248,0.6007248,-0.348446,799,24.36,22.87,7074,4702,4406,0.02494,0,4,4,1.3341,132.368,2454970,3.139,25630,2.131,2.227,21.53,2.142,2.0116e-101,1.0084,6,754,0,38.386966,0,0,0,0,117579.391516767,2180741727.73706,3.39170744269894,5.19258796585467,4.66076696165192,6.7082266161254,1925370,0,0,0
"CANDIDATE",11853905,"K00007.01",3.21366,133.254,726.4,0.543529,0.0138728,0.4667292,335,302.3,287.8,2934,4939,2458,0.04399,0.18,0,0,3.21367,133.252,2454970,4.288,18630,1.786,2.906,294.5,0.5266,0,1.0396,6,271,2,50.135737,-0.0001967,0.04462,0.18244,0.19465,717437.653443597,13217523797.2176,15.2437810945274,20.4414498141264,15.9278350515464,7.6876652814507,15111927.7777778,0.37931693989071,0.897843915343915,2.53120936280884
"FALSE POSITIVE",5903312,"K00008.01",1.16015,132.148,100.4,0.450294,0.291406,0.1296252,1151,40.95,35.28,10260,5568,4137,0.02131,-0.1,4,4,1.16015,132.146,2454970,1.863,27640,0.6922,2.499,36.65,1.101,9.95989999999999e-274,1.0337,3,949,1,41.139357,0.003678,3.3101,-7.3481,8.1353,290252.720268139,5392149110.6689,4.66613672496025,7.5728500355366,6.88811188811189,3.8118069245934,3420935.2233677,-109.197329376855,51.265785609398,118.590379008746
"FALSE POSITIVE",11553706,"K00009.01",3.71981,135.069,2233,0.2964238,0.9163498,-0.7725186,364,401.5,518,3195,10640,1992,0.05139,-0.2,5,5,3.71978,135.073,2454970,3.472,14570,50.59,54.09,579.9,5.529,0,1.0295,6,348,0,49.528435,-0.01863,-3.8561,3.5236,5.3433,861063.475771852,15650408318.0865,3.06497484139138,3.2018691588785,3.06527415143603,38.2314609365877,30037170.0468019,49.9349710982659,-57.963924963925,77.1038961038961
"CANDIDATE",6922244,"K00010.01",3.5225,131.687,9140,0.3798706,0.6483006,-0.4227618,384,1687,1623,3357,19260,2470,0.04725,-0.04,6,6,3.52249,131.688,2454960,3.259,18380,3.625,3.466,1726,-1.558,0,1.0218,6,367,0,42.451063,1.319e-05,-0.013407,-0.028353,0.17837,4385809.48987034,81761957256.6168,13.1886625332152,15.1880424300868,13.1909090909091,14.6242189183366,86417175.1152074,0.21312874251497,2.58211143695015,2.61923641703377
