"koi_disposition","kepid","kepoi_name","tce_depth","tce_ldm_coeff1","tce_chisq1","tce_chisqgofdof","tce_smet","tce_steff_prov","tcet_model_dof","wst_robstat","tce_fwm_prao","tce_time0_sn"
"CANDIDATE",11446443,"K00001.01",14220,0.4685532,283100,1375,-0.06,0,10140,5.143,-0.0001223,613681131886.811
"CANDIDATE",10666592,"K00002.01",6676,0.4179966,176900,4536,0.14,0,32150,34.46,-0.001754,232076042464.29
"CANDIDATE",10748390,"K00003.01",4365,0.7185774,34240,941,0.32,1,6752,1.704,0.001684,136039565554.694
"CANDIDATE",3861595,"K00004.01",1288,0.3111566,2303,1244,-0.16,2,8884,9.54,0.0001896,18421577896.8379
"CANDIDATE",8554498,"K00005.01",961,0.4959136,2709,997,0.16,3,6749,1.999,8.928e-05,21941120217.3583
"FALSE POSITIVE",3248033,"K00006.01",49.75,0.3917248,4702,4406,0,4,25630,2.131,0,2180741727.73706
"CANDIDATE",11853905,"K00007.01",726.4,0.543529,4939,2458,0.18,0,18630,1.786,-0.0001967,13217523797.2176
"FALSE POSITIVE",5903312,"K00008.01",100.4,0.450294,5568,4137,-0.1,4,27640,0.6922,0.003678,5392149110.6689
"FALSE POSITIVE",11553706,"K00009.01",2233,0.2964238,10640,1992,-0.2,5,14570,50.59,-0.01863,15650408318.0865
"CANDIDATE",6922244,"K00010.01",9140,0.3798706,19260,2470,-0.04,6,18380,3.625,1.319e-05,81761957256.6168
"FALSE POSITIVE",11913073,"K00011.01",480.6,0.5537852,2860,2317,-0.04,5,17150,16.04,-0.0007874,2621450453.98097
"CANDIDATE",5812701,"K00012.01",9196,0.4124056,19910,720,0.07,7,8817,1.513,0.0004751,40855050757.1975
"CANDIDATE",9941662,"K00013.01",4564,0.5744564,1263000,4807,0.07,8,32050,19.48,0,405832487494.255
"FALSE POSITIVE",7684873,"K00014.01",403.2,0.4406016,2726,1601,-0.14,8,10800,52.56,0.0005353,25136125815.2703
"FALSE POSITIVE",3964562,"K00015.01",1096,0.557243,8383,1614,0.21,8,11430,40.34,0.092,13542420564.872
"FALSE POSITIVE",9110357,"K00016.01",175.5,0.4475868,36640,5323,-0.08,8,32240,1.593,0.04832,4747746475.87699
"CANDIDATE",10874614,"K00017.01",10560,0.634036,169700,2144,0.34,9,15880,3.002,0.00086,131459675389.698
"CANDIDATE",8191672,"K00018.01",7282,0.3915036,80050,3546,0.04,10,27340,5.466,0.0004054,83653184311.8547
"FALSE POSITIVE",7255336,"K00019.01",2695,0.3103952,38830,3941,-0.24,4,26700,2.515,0.0004573,129818568323.753
"CANDIDATE",11804465,"K00020.01",16430,0.4704364,112800,2201,0.08,11,17190,4.109,-4.892e-05,111202862772.632
"FALSE POSITIVE",10125352,"K00021.01",3402,0.1923804,5753,1118,-0.56,5,7524,37.41,-0.006036,32070694864.8377
"CANDIDATE",9631995,"K00022.01",10370,0.5300978,53030,1242,0.24,12,9434,2.34,0.001755,54028887651.5523
"FALSE POSITIVE",9071386,"K00023.01",14340,0.450288,71430,2441,0.2,4,20200,43.81,-0.000133,155448685476.926
"FALSE POSITIVE",4743513,"K00024.01",3409,0.1424498,149500,4135,-0.74,5,30770,14.85,0.02495,32731231309.3052
"FALSE POSITIVE",10593759,"K00025.01",9899,0.3813176,73000,2347,-0.06,5,17130,1.881,-4.409e-05,51260972696.6733
"FALSE POSITIVE",5021737,"K00026.01",5736,0.3462488,54680,548,-0.1,5,4059,1005,0.04122,8298140592.94162
"FALSE POSITIVE",3832716,"K00027.01",296600,0.2654568,11070000,5215,-0.38,5,32250,3455,0,-2454960
"FALSE POSITIVE",4247791,"K00028.01",119600,0.4661836,41120000,6483,0.06,13,30290,-12.2,0.02208,145124524866.549
"FALSE POSITIVE",6956014,"K00031.01",256.9,0.8242512,10280,5191,-0.04,4,31810,1.61,-1.231e-05,15315835771.6375
"FALSE POSITIVE",5725087,"K00033.01",20.23,0.5601592,8755,8260,-0.48,13,32030,4.426,3.992e-05,2729722998.09639
"CANDIDATE",6521045,"K00041.01",221.1,0.5155576,669.1,1256,0.1,0,10030,2.856,0.0001068,2153728056.70822
"CANDIDATE",6521045,"K00041.02",70.67,0.5155576,1303,1711,0.1,0,13180,2.626,-3.921e-06,1199524093.38324
