"koi_disposition","kepid","kepoi_name","tce_ingress","tce_model_chisq","tce_minmesd","tce_fwm_srao","tce_fwm_prao","tce_impact_sn","tce_depth_sn","tce_eqt_sn","tce_smet_sn","tce_fwm_sdeco_sn"
"CANDIDATE",11446443,"K00001.01",0.6188,7199,1.796,-0.02322,-0.0001223,3421.03126268778,3983.19327731092,57.0212765957447,-0.4,60.5681818181818
"CANDIDATE",10666592,"K00002.01",0.4694,20270,0.9536,0.3986,-0.001754,302.283770651118,3080.75680664513,47.7855477855478,0.933333333333333,-334.140969162996
"CANDIDATE",10748390,"K00003.01",0.1817,4935,-1.196,1.98,0.001684,17.2865013774105,1751.6051364366,40,2.13333333333333,453.821656050955
"CANDIDATE",3861595,"K00004.01",0.6598,5579,1.82,-0.05632,0.0001896,520.022371364653,199.813838039094,8.46473029045643,-0.8,-7.35567010309278
"CANDIDATE",8554498,"K00005.01",0.7206,3908,1.841,-0.001298,8.928e-05,939.823008849558,233.252427184466,45.5696202531646,1.6,-1.47291066282421
"FALSE POSITIVE",3248033,"K00006.01",0.0955,15460,0.8185,-50.63,0,4.06795679567957,18.8589840788476,12.9940119760479,0,167.898383371824
"CANDIDATE",11853905,"K00007.01",0.2783,11200,0.4836,0.2591,-0.0001967,19.2463909958405,289.864325618516,47.5,1.2,-1.052466367713
"FALSE POSITIVE",5903312,"K00008.01",0.07633,13800,0.5414,-36.27,0.003678,5.35336109458656,29.9254843517139,18.2291666666667,-0.666666666666667,23.273127753304
"FALSE POSITIVE",11553706,"K00009.01",1.788,11790,1.985,8.465,-0.01863,755.051710421639,169.423368740516,7.85714285714286,-0.666666666666667,-351.701244813278
"CANDIDATE",6922244,"K00010.01",0.5262,9927,2.175,-0.5515,1.319e-05,216.462293071735,1512.7441244621,30.2788844621514,-0.266666666666667,-7.97994652406417
"FALSE POSITIVE",11913073,"K00011.01",2.32,11130,2.004,1.642,-0.0007874,351.460512080779,32.8727770177839,12.8589263420724,-0.133333333333333,-75.9285714285714
"CANDIDATE",5812701,"K00012.01",0.6566,4227,-2.963,-0.0764,0.0004751,27.3986152324431,584.243964421855,16.551724137931,0.466666666666667,53.6748329621381
"CANDIDATE",9941662,"K00013.01",0.285,25810,1.001,-0.176,0,169.255855321672,3914.23670668954,6.31205673758865,0.1,254.290909090909
"FALSE POSITIVE",7684873,"K00014.01",0.7462,6157,1.569,-1.363,0.0005353,1573.46048165508,168.985750209556,10.3004291845494,-0.466666666666667,4.858
"FALSE POSITIVE",3964562,"K00015.01",1.557,8859,1.625,-84.28,0.092,94.3383742911153,145.744680851064,10.2155172413793,0.323076923076923,-90.1015228426396
"FALSE POSITIVE",9110357,"K00016.01",0.976,31350,0.2813,-275.6,0.04832,66.4300066979236,8.96780786918753,5.26641883519207,-0.228571428571429,-1299.34640522876
"CANDIDATE",10874614,"K00017.01",0.3059,10060,1.853,0.05247,0.00086,0.0552281616688396,2562.48483377821,31.7757009345794,2.26666666666667,34.6904761904762
"CANDIDATE",8191672,"K00018.01",0.3336,14670,1.396,0.02196,0.0004054,0.00576243504083148,2032.3751046609,31.9688109161793,0.266666666666667,9.62147887323944
"FALSE POSITIVE",7255336,"K00019.01",0.939,17450,0.1906,0.02982,0.0004573,771.821862348178,525.341130604289,13.7662337662338,-1.6,12.4145785876993
"CANDIDATE",11804465,"K00020.01",0.4927,9376,2.367,-0.007793,-4.892e-05,1.08741066520066e-05,2586.58690176322,13.2673267326733,0.533333333333333,4.86908077994429
"FALSE POSITIVE",10125352,"K00021.01",1.14,4948,2.217,1.782,-0.006036,84.2167654530059,284.210526315789,7.31914893617021,-1.6,42.2367149758454
"CANDIDATE",9631995,"K00022.01",0.4817,6005,2.122,-0.1774,0.001755,46.0019175455417,1765.70747488507,18.3600713012478,1.6,-12.9012517385257
"FALSE POSITIVE",9071386,"K00023.01",0.574,11590,2.173,0.0926,-0.000133,67.2428154935444,2547.06927175844,16.767189384801,1,22.9041095890411
"FALSE POSITIVE",4743513,"K00024.01",0.7433,42450,0.9486,-7.817,0.02495,583.333333333333,236.243936243936,7.90598290598291,-2.46666666666667,-244.660194174757
"FALSE POSITIVE",10593759,"K00025.01",1.802,16080,1.078,0.1456,-4.409e-05,129.110164019114,345.997902831178,9.86301369863014,-0.2,13.3693304535637
"FALSE POSITIVE",5021737,"K00026.01",2.653,21380,8.269,-7.85,0.04122,4.67726847521048,0.357160647571606,10.6174200661521,-0.333333333333333,132.547169811321
"FALSE POSITIVE",3832716,"K00027.01",0.3386,-1,0.4792,0,0,-0.1,0,-2180,-1.26666666666667,0
"FALSE POSITIVE",4247791,"K00028.01",4.031,110900,0.9675,-0.03921,0.02208,305.044091710758,5448.74715261959,7.98206278026906,0.2,-644.897959183673
"FALSE POSITIVE",6956014,"K00031.01",0.1993,29900,0.3719,0.02297,-1.231e-05,28.2884012539185,78.2277710109622,0,-0.266666666666667,-6.80188679245283
"FALSE POSITIVE",5725087,"K00033.01",0.03171,19720,0.2958,-2.05,3.992e-05,6.797583081571,11.4036076662909,0,-1.92,3.76113360323887
"CANDIDATE",6521045,"K00041.01",0.2673,5333,3.324,-0.143,0.0001068,7.14311111111111,76.1101549053356,46.95,0.666666666666667,2.7724358974359
"CANDIDATE",6521045,"K00041.02",0.2167,6520,2.132,0.3955,-3.921e-06,7.4513201320132,30.1236146632566,47.1544715447154,0.666666666666667,1.90679347826087
"CANDIDATE",6521045,"K00041.03",0.365,1612,-1.206,0.4093,-6.725e-06,7.73599320882852,18.9148646015975,46.8531468531469,0.666666666666667,0.655536028119508
"CANDIDATE",8866102,"K00042.01",0.3838,2934,10.18,0.2593,0.0002523,48.6865342163355,124.529027297193,50.9411764705882,0,5.51415094339623
"FALSE POSITIVE",9025922,"K00043.01",0.9604,4843,8.172,-37.61,0.09774,59.7972972972973,72.4979658258747,2024937.65586035,1.06666666666667,-256.118143459916
"FALSE POSITIVE",8845026,"K00044.01",2.016,3437,1.744,0.7125,0.004064,20.7267645003494,355.852098971365,10.219298245614,0.6,-18.25
"FALSE POSITIVE",3742855,"K00045.01",1.583,12670,2.958,2.72,0.04568,259.38451132905,428.319753358291,9442307.69230769,1.06666666666667,306.356589147287
"CANDIDATE",10905239,"K00046.01",0.271,12970,0.8991,-0.055,-0.0001073,11.0242628992629,306.669831474009,11.4173228346457,2,4.60332541567696
"CANDIDATE",10905239,"K00046.02",0.1389,5756,2.731,-1.214,5.168e-05,1.21359223300971,8.67726779906035,11.4285714285714,2,-0.296573426573427
"FALSE POSITIVE",7837302,"K00048.01",2.971,4672,3.848,-0.005123,4.268e-05,115.536791314837,1532.15767634855,4.66497461928934,-1.33333333333333,-1.0226368159204
"CANDIDATE",9527334,"K00049.01",0.2376,3966,4.838,0.135,0.0001002,8.80135860633286,94.3058443058443,17.72,0.466666666666667,-1.31456953642384
"FALSE POSITIVE",6056992,"K00051.01",1.932,3729,1.229,-0.8123,0.01613,32.2937350222527,435.828073339345,12541353.3834586,1.06666666666667,-29.6143497757848
"FALSE POSITIVE",3558981,"K00052.01",0.7326,13150,1.571,0.4727,0,484.214390602056,1241.87517975266,16.6405023547881,0.233333333333333,-113.221957040573
"FALSE POSITIVE",2445975,"K00053.01",0.5502,14270,2.421,-0.4423,0.004894,104.801210620443,310.912643036562,19611021.0696921,1.06666666666667,-19.475
"FALSE POSITIVE",8248939,"K00061.01",0.1659,15240,-0.3583,-17.03,0.003007,14.6936790923825,43.3578431372549,10,-0.8,232.159090909091
"CANDIDATE",11554435,"K00063.01",0.3126,3729,3.523,0.1696,2.272e-05,53.8032532920217,581.839047482427,19.8743718592965,0.266666666666667,30.8
"CANDIDATE",7051180,"K00064.01",0.2784,9038,0.4625,-0.2441,2.265e-05,84.5958646616541,179.332273449921,28.8793103448276,0,-3.72847682119205
"FALSE POSITIVE",10620329,"K00066.01",0.05722,13020,0.5288,0.3754,0,21.2214100448008,84.5390657296403,10.0733496332518,-2.53333333333333,-0.284104389086595
"FALSE POSITIVE",8669092,"K00068.01",0.07916,-1,-0.25,-0.06281,-3.973e-06,-0.1,-1874,-3370,-2.34285714285714,1.03448275862069
"CANDIDATE",3544595,"K00069.01",0.2112,6694,2.645,-0.3536,-2.044e-05,32.2418879056047,234.575389948007,52.020202020202,-1.33333333333333,1.43363636363636
"CANDIDATE",6850504,"K00070.01",0.2787,3968,4.091,-0.02455,-2.59e-05,13.050034270048,195.689166193988,23.6111111111111,0.133333333333333,-5.04010025062657
"CANDIDATE",6850504,"K00070.02",0.2197,7119,0.3281,-0.1131,2.398e-05,16.9671814671815,105.211817168339,23.7068965517241,0.133333333333333,-4.33725490196078
"CANDIDATE",6850504,"K00070.03",0.4428,762.5,5.463,-0.1004,4.252e-05,6.89738805970149,79.6469465648855,23.6309523809524,0.133333333333333,-3.73267326732673
"CANDIDATE",6850504,"K00070.04",0.1361,4130,-0.6188,0.08461,-9.707e-06,3.20049857549858,17.5734758319164,23.587786259542,0.133333333333333,-1.26228813559322
"CANDIDATE",6850504,"K00070.05",0.1598,1209,-3.085,-0.3799,3.076e-05,1.79898270600203,13.75997635235,23.609022556391,0.133333333333333,0.353311793214863
"CANDIDATE",11904151,"K00072.01",0.3233,1546,10.73,-0.1366,-1.762e-05,6.39774696707106,94.42192626906,47.6363636363636,-0.8,2.7390625
"CANDIDATE",11904151,"K00072.02",0.05922,16540,0.6156,-0.3002,5.24e-06,5.92115637319317,27.1155115511551,47.710843373494,-0.8,2.88268156424581
"FALSE POSITIVE",6889235,"K00074.01",0.3172,11870,2.398,-0.1692,9.049e-05,43.9786297925833,829.986613119143,8.5140562248996,0.107692307692308,5.61904761904762
"CANDIDATE",7199397,"K00075.01",1.046,2361,-1.607,-0.5745,0.0007389,21.7088833392793,190.453346126169,25.7575757575758,-0.933333333333333,19.8204545454545
"FALSE POSITIVE",9955262,"K00076.01",0.4301,1460,-8.432,1.147,-0.001127,5.36778873399071,56.2988705473501,8.13807531380753,0.233333333333333,15.7036450079239
"FALSE POSITIVE",9552608,"K00080.01",1.79,3366,6.131,-0.1785,-1.973e-05,103.487890705858,48.6307837582625,5.50279329608939,-0.228571428571429,-3.54569190600522
"FALSE POSITIVE",8823868,"K00081.01",0.6187,6533,11.57,-0.0238,0.000319,1.78835386338186e-05,1252.58103241297,8.91566265060241,0.525,5.0919175911252
"CANDIDATE",10187017,"K00082.01",0.3718,2672,9.093,-0.6352,2.264e-05,35.6990166737922,203.468332615252,33.9130434782609,0.533333333333333,-8.74553571428571
"CANDIDATE",10187017,"K00082.02",0.2923,3282,1.594,-0.8904,7.556e-05,18.5349268493715,70.1399688958009,33.903743315508,0.533333333333333,-3.63082706766917
"CANDIDATE",10187017,"K00082.03",0.2073,1539,-3.487,-0.6778,9.302e-06,3.82839721254355,22.8342595619483,33.8518518518519,0.533333333333333,-1.63828125
"CANDIDATE",10187017,"K00082.04",0.1267,4087,-0.9688,-1.12,3.283e-05,3.89134199134199,20.0559875583204,33.9150943396226,0.533333333333333,-1.76021276595745
"CANDIDATE",10187017,"K00082.05",0.09818,4814,2.287,0.3536,-3.96e-05,2.87892376681614,13.8321536905966,33.8461538461538,0.533333333333333,0.312037037037037
"CANDIDATE",10187017,"K00082.06",0.02563,851.6,4.533,0.1026,-4.164e-05,0.44318339100346,9.28821656050955,34.0277777777778,0.533333333333333,0.143211009174312
"CANDIDATE",2571238,"K00084.01",0.4175,4297,-1.531,0.3189,1.629e-05,63.5205183585313,206.478704259148,20.650406504065,-0.933333333333333,-4.16309012875536
"CANDIDATE",5866724,"K00085.01",0.3554,7602,-1.16,-0.05054,8.754e-06,50.4143019296254,149.275362318841,47.1698113207547,0.933333333333333,1.46965517241379
"CANDIDATE",5866724,"K00085.02",0.1622,14040,-0.5375,-0.09141,5.765e-06,12.2362697117999,60.6101938262742,47.027027027027,0.933333333333333,0.138156028368794
"CANDIDATE",5866724,"K00085.03",0.2453,4065,4.433,-0.09619,7.786e-06,10.7497612225406,44.0860215053763,47.0588235294118,0.933333333333333,0.75
"CANDIDATE",10593626,"K00087.01",0.5027,246.3,48.05,-0.03596,-0.0002333,7.97584541062802,36.4933239634575,21.7796610169492,-1.73333333333333,-3.22910798122066
"FALSE POSITIVE",7700871,"K00088.01",0.1516,12370,1.502,27.59,-0.002118,7.59348914858097,43.5270880361174,15.8097686375321,-1.33333333333333,18.4823529411765
"CANDIDATE",8056665,"K00089.01",0.5804,1464,-4.679,-0.8908,0.0001747,14.4961240310078,67.6693188433922,12.469387755102,-1.33333333333333,1.95434782608696
"CANDIDATE",8056665,"K00089.02",0.2907,345.3,11.88,-0.0008561,-0.0001914,2.26903553299492,47.0526315789474,12.4450549450549,-1.33333333333333,-0.415172413793103
"FALSE POSITIVE",9210823,"K00090.01",0.07162,20850,0.5,188.7,-0.01176,4.58320610687023,21.2853733378793,6.22857142857143,-0.285714285714286,346.285714285714
"CANDIDATE",7941200,"K00092.01",0.3312,537.6,5.244,0.157,-9.543e-05,15.9470958194599,76.6264490182162,17.546468401487,-0.266666666666667,4.0671875
"CANDIDATE",6462863,"K00094.01",0.4758,1985,1.015,0.135,0.001372,5.5951933909125,602.817202006189,15.0671785028791,-0.133333333333333,7.43703703703704
"CANDIDATE",6462863,"K00094.02",0.5914,939.8,31.26,0.2207,0.0003053,12.9933211900425,147.511312217195,15.0515463917526,-0.133333333333333,1.16778523489933
"CANDIDATE",6462863,"K00094.03",0.2796,2479,-1.73,0.1925,0.0001439,6.06855184233076,137.022097509646,15.0297619047619,-0.133333333333333,3.46153846153846
"CANDIDATE",6462863,"K00094.04",0.2526,4713,2.411,-0.1208,6.143e-05,8.49859681945744,32.9245534524127,15.0105708245243,-0.133333333333333,0.855274261603375
"CANDIDATE",5780885,"K00097.01",0.5278,11470,2.638,-0.01235,0.0002854,82.5087775295244,2091.54535274356,54.7445255474453,1,-56.2573099415205
"CANDIDATE",10264660,"K00098.01",0.3904,9501,0.7895,-0.06842,0.0001601,27.8081534772182,619.324473975637,49.6527777777778,0.266666666666667,-12.4520255863539
"CANDIDATE",4055765,"K00100.01",2.522,4455,3.761,-0.07491,2.603e-05,307.340324118208,113.986013986014,11.3669064748201,-1.06666666666667,0.844507042253521
"CANDIDATE",8456679,"K00102.01",0.3926,15700,0.5708,0.0423,0.00014,174.520069808028,321.43840330351,17.4353205849269,1.4,-22.2027972027972
"FALSE POSITIVE",8456679,"K00102.02",0.2097,6017,-0.6,0.1403,4.147e-06,6.75562001450326,22.2849986084052,17.4887892376682,1.4,-1.54903846153846
"CANDIDATE",2444412,"K00103.01",0.8469,2998,7.311,-0.272,4.489e-05,209.431843700876,96.3644474183116,20.1159420289855,-0.266666666666667,-2.91607142857143
"CANDIDATE",10318874,"K00104.01",0.2396,6488,1.4,-0.2513,0.0001626,79.0079016681299,195.031712473573,34.3793103448276,2.26666666666667,6.57657657657658
"CANDIDATE",8711794,"K00105.01",0.1494,2336,3.669,-0.3643,4.585e-06,6.88074204946997,175.348374253484,14.5695364238411,-2.66666666666667,-1.24497936726272
"FALSE POSITIVE",10489525,"K00106.01",0.1397,13260,0.9688,-87.39,0.008739,5.8556566970091,28.3059490084986,7.67705382436261,-0.333333333333333,-1031.4371257485
"CANDIDATE",11250587,"K00107.01",0.299,7474,3.624,0.03298,2.221e-05,11.1094287680661,131.784492588369,52.4886877828054,1.46666666666667,-0.14692513368984
"CANDIDATE",4914423,"K00108.01",0.3175,3297,6.116,0.1542,-6.412e-05,13.063829787234,117.334963325183,47.3913043478261,0.533333333333333,2.51781472684086
"CANDIDATE",4914423,"K00108.02",0.9331,835.2,43.65,0.1073,-0.0001103,16.7719461216907,120.683111954459,47.323600973236,0.533333333333333,-0.325959367945824
"FALSE POSITIVE",4752451,"K00109.01",1.983,4357,2.756,6.801,-0.001033,44.5308310991957,19.31602279924,11.758691206544,-1.53333333333333,103.801020408163
"CANDIDATE",9450647,"K00110.01",0.2637,4523,2.963,0.1077,8.768e-06,11.2626332548802,145.398773006135,17.042735042735,0.533333333333333,3.58529411764706
"CANDIDATE",6678383,"K00111.01",0.2773,4645,2.786,0.01926,-8.112e-05,9.63043216564343,139.784335981839,19.2325056433409,-2.26666666666667,-8.91140776699029
"CANDIDATE",6678383,"K00111.02",0.4481,1511,8.691,-0.001846,-8.607e-05,9.40007228044814,96.2742893849366,19.2164179104478,-2.26666666666667,-5.37542372881356
