"koi_disposition","kepid","kepoi_name","tce_bin_oedp_stat","tce_albedo","tce_rb_tcount3","tce_fwm_prao","tce_duration_sn","tce_insol_sn","tce_fwm_srao_sn"
"CANDIDATE",11446443,"K00001.01",2.05,0.0393,0,-0.0001223,2945.41878380593,14.2542595019659,-14.3333333333333
"CANDIDATE",10666592,"K00002.01",25.95,0.1674,1,-0.001754,2004.95785820525,11.9239049527627,188.018867924528
"CANDIDATE",10748390,"K00003.01",6.051,0.233,1,0.001684,369.812480786966,10.0092879256966,188.571428571429
"CANDIDATE",3861595,"K00004.01",3.622,0.5699,0,0.0001896,187.880886426593,2.10768167743812,-2.99574468085106
"CANDIDATE",8554498,"K00005.01",0.668,0.2107,7,8.928e-05,193.703007518797,11.416359369762,-0.0363585434173669
"FALSE POSITIVE",3248033,"K00006.01",0.05381,0.908,0,0,12.4906666666667,3.24922143504101,-117.470997679814
"CANDIDATE",11853905,"K00007.01",2.646,0.2332,0,-0.0001967,92.4921559838637,11.831814730448,5.92906178489702
"FALSE POSITIVE",5903312,"K00008.01",0.005731,0.6968,0,0.003678,13.0459231490159,4.56236055104088,-153.037974683544
"FALSE POSITIVE",11553706,"K00009.01",7.572,1.63,0,-0.01863,302.366863905325,1.96650195163715,376.222222222222
"CANDIDATE",6922244,"K00010.01",0.1861,0.1108,0,1.319e-05,692.275132275132,7.57416582104698,-63.6101499423299
"FALSE POSITIVE",11913073,"K00011.01",0.03068,14.09,0,-0.0007874,74.0935952723207,3.21851673489044,16.2574257425743
"CANDIDATE",5812701,"K00012.01",0.5304,1.864,0,0.0004751,1617.39130434783,4.13601823708207,-17.8922716627635
"CANDIDATE",9941662,"K00013.01",0.08052,0.02523,0,0,1944.95412844037,1.57678080022317,-98.3240223463687
"FALSE POSITIVE",7684873,"K00014.01",1.833,3.105,0,0.0005353,185.755258126195,2.57597024695419,-31.0478359908884
"FALSE POSITIVE",3964562,"K00015.01",0.0004082,1.349,0,0.092,160.981912144703,2.55730123708101,-957.727272727273
"FALSE POSITIVE",9110357,"K00016.01",3.086,0.02843,0,0.04832,20.8146726380891,1.31871649962614,-1020.74074074074
"CANDIDATE",10874614,"K00017.01",0.002736,0.06968,0,0.00086,694.449816283117,7.91643564356436,12.7046004842615
"CANDIDATE",8191672,"K00018.01",27.36,0.1112,0,0.0004054,630.756465219195,7.98932898415657,3.4746835443038
"FALSE POSITIVE",7255336,"K00019.01",237.3,0.01422,0,0.0004573,544.347826086957,3.45214682184423,2.71090909090909
"CANDIDATE",11804465,"K00020.01",0.6937,0.1011,0,-4.892e-05,1248.20430965682,3.30726378552465,-2.27201166180758
"FALSE POSITIVE",10125352,"K00021.01",0.0297,0.9076,0,-0.006036,249.398117750055,1.8312959724407,80.6334841628959
"CANDIDATE",9631995,"K00022.01",0.5908,0.306,0,0.001755,679.463171036205,4.5851839000694,-20.5086705202312
"FALSE POSITIVE",9071386,"K00023.01",2.185,1.608,0,-0.000133,2410.72261072261,4.1920756330467,37.1887550200803
"FALSE POSITIVE",4743513,"K00024.01",1.024,0.2652,0,0.02495,220.173204279165,1.97331139815227,-468.083832335329
"FALSE POSITIVE",10593759,"K00025.01",1.72e-05,0.02944,0,-4.409e-05,1097.10806697108,2.46605596988082,29.7142857142857
"FALSE POSITIVE",5021737,"K00026.01",0.000112,124.7,0,0.04122,1.12701784197111,2.65264532984977,-785.785785785786
"FALSE POSITIVE",3832716,"K00027.01",0,0,0,0,-2,-5385.46,0
"FALSE POSITIVE",4247791,"K00028.01",0,0,0,0.02208,8737.40110545139,1.99708386207592,-171.973684210526
"FALSE POSITIVE",6956014,"K00031.01",12.97,0,0,-1.231e-05,39.3928174750093,0,0.582994923857868
"FALSE POSITIVE",5725087,"K00033.01",0,0,0,3.992e-05,22.4251553379778,0,-3.0058651026393
"CANDIDATE",6521045,"K00041.01",0.4335,10.42,0,0.0001068,49.6562261268144,11.7173774665818,-1.02877697841727
"CANDIDATE",6521045,"K00041.02",0.3977,8.538,0,-3.921e-06,19.1533277169334,11.7201668984701,1.18059701492537
