"koi_disposition","kepid","kepoi_name","tce_impact","tcet_model_chisq","boot_mesmean","tce_fwm_sra","tce_fwm_prao","tce_slogg_sn","tce_albedo_sn"
"CANDIDATE",11446443,"K00001.01",0.8426,67000,-0.078511,19.120564,-0.0001223,223,5.35276491419232
"CANDIDATE",10666592,"K00002.01",0.6221,163000,-1,19.483163,-0.001754,134,14.5565217391304
"CANDIDATE",10748390,"K00003.01",0.502,165100,-0.21004,19.847345,0.001684,114.75,1.77998472116119
"CANDIDATE",3861595,"K00004.01",0.9298,60510,-0.01712,19.623769,0.0001896,13.5555555555556,2.09368111682586
"CANDIDATE",8554498,"K00005.01",0.9558,67790,-0.066298,19.315981,8.928e-05,133.666666666667,2.18387230514096
"FALSE POSITIVE",3248033,"K00006.01",0.9039,58060,-0.001075,19.638774,0,24.1764705882353,1.51661934190747
"CANDIDATE",11853905,"K00007.01",0.7866,54160,-0.023086,19.041029,-0.0001967,136.666666666667,1.91618734593262
"FALSE POSITIVE",5903312,"K00008.01",0.8999,89020,0.12764,19.909843,0.003678,36.9166666666667,0.938072159396877
"FALSE POSITIVE",11553706,"K00009.01",0.9491,115900,-0.075425,19.253826,-0.01863,13.1379310344828,2.00492004920049
"CANDIDATE",6922244,"K00010.01",0.7061,72060,0.019653,18.752527,1.319e-05,69.5,3.61147327249022
"FALSE POSITIVE",11913073,"K00011.01",0.9746,74070,-0.45444,19.40415,-0.0007874,28.5625,3.28438228438228
"CANDIDATE",5812701,"K00012.01",0.277,109500,-0.13304,19.830247,0.0004751,33.1538461538461,1.53668590272053
"CANDIDATE",9941662,"K00013.01",0.5709,225000,-1,19.131408,0,11.3823529411765,1.65009810333551
"FALSE POSITIVE",7684873,"K00014.01",0.9735,79090,-0.21721,19.507428,0.0005353,20,2.85386029411765
"FALSE POSITIVE",3964562,"K00015.01",0.9981,103200,-0.24834,19.607548,0.092,23,2.34445603058742
"FALSE POSITIVE",9110357,"K00016.01",0.9918,206300,-0.21109,19.882345,0.04832,8.62790697674419,0.810433295324972
"CANDIDATE",10874614,"K00017.01",0.02118,108500,-0.26604,19.789151,0.00086,70.6666666666667,3.06960352422908
"CANDIDATE",8191672,"K00018.01",0.007762,113400,-0.17446,19.960469,0.0004054,81.4,5.09624197983501
"FALSE POSITIVE",7255336,"K00019.01",0.9532,75410,-0.11929,18.72959,0.0004573,26.25,2.17864256166692
"CANDIDATE",11804465,"K00020.01",0.0001978,90600,-0.16924,19.082895,-4.892e-05,24.5294117647059,2.73095623987034
"FALSE POSITIVE",10125352,"K00021.01",0.9946,70050,0.074187,18.982621,-0.006036,12.125,1.78345450972686
"CANDIDATE",9631995,"K00022.01",0.4798,84090,0.0025644,18.841973,0.001755,35.9166666666667,2.19827586206897
"FALSE POSITIVE",9071386,"K00023.01",0.3229,257000,-0.076834,18.877756,-0.000133,35.1666666666667,4.48660714285714
"FALSE POSITIVE",4743513,"K00024.01",0.9205,775100,-0.12322,19.387506,0.02495,14.0344827586207,2.00150943396226
"FALSE POSITIVE",10593759,"K00025.01",0.9997,114500,0.010832,19.284114,-4.409e-05,21.65,1.6140350877193
"FALSE POSITIVE",5021737,"K00026.01",1,1706000,-0.016501,19.648665,0.04122,22.1578947368421,2.34928409947249
"FALSE POSITIVE",3832716,"K00027.01",0.1,408000,-1,0,0,14.3103448275862,0
"FALSE POSITIVE",4247791,"K00028.01",0.8648,34830000,-1,19.144322,0.02208,14.2068965517241,0
"FALSE POSITIVE",6956014,"K00031.01",0.9024,140500,0.021798,19.602121,-1.231e-05,13.5833333333333,0
"FALSE POSITIVE",5725087,"K00033.01",0.9,123000,-1,19.79781,3.992e-05,56.3333333333333,0
"CANDIDATE",6521045,"K00041.01",0.8036,68940,-0.060591,19.425728,0.0001068,137.333333333333,2.8101402373247
"CANDIDATE",6521045,"K00041.02",0.9031,64080,-0.037816,19.425742,-3.921e-06,137.333333333333,2.2768
"CANDIDATE",6521045,"K00041.03",0.9113,58390,-0.082672,19.425742,-6.725e-06,137.333333333333,2.50801796023092
"CANDIDATE",8866102,"K00042.01",0.8822,76970,-0.1775,18.87672,0.0002523,142.333333333333,2.34213197969543
"FALSE POSITIVE",9025922,"K00043.01",0.885,89640,-0.080007,19.550079,0.09774,0,17.0551137921579
"FALSE POSITIVE",8845026,"K00044.01",0.2966,85520,-0.042249,20.010143,0.004064,22,2.65632273079907
"FALSE POSITIVE",3742855,"K00045.01",0.767,124800,-0.22386,19.351142,0.04568,0,45.6437704430568
"CANDIDATE",10905239,"K00046.01",0.7179,67860,-0.28113,18.883698,-0.0001073,20.35,1.64769647696477
"CANDIDATE",10905239,"K00046.02",0.8875,57220,-0.19528,18.883666,5.168e-05,20.35,0.701631046119235
"FALSE POSITIVE",7837302,"K00048.01",0.9578,473700,-0.082924,19.770257,4.268e-05,7.62745098039216,1.14720141031291
"CANDIDATE",9527334,"K00049.01",0.8033,87360,-0.18511,19.483272,0.0001002,37.5833333333333,2.57949041903559
"FALSE POSITIVE",6056992,"K00051.01",0.9433,66710,0.015739,19.727903,0.01613,0,1.96080910240202
"FALSE POSITIVE",3558981,"K00052.01",0.6595,318500,-0.11739,19.665174,0,45.4,5.444216800149
"FALSE POSITIVE",2445975,"K00053.01",0.7618,74540,-0.25459,19.468717,0.004894,0,8.87024608501119
"FALSE POSITIVE",8248939,"K00061.01",0.9066,120100,0.09411,19.795291,0.003007,21.85,1.94885485457356
"CANDIDATE",11554435,"K00063.01",0.6946,111200,-0.37301,19.28175,2.272e-05,45.2,3.04045438738843
"CANDIDATE",7051180,"K00064.01",0.9001,74260,0.10313,19.767366,2.265e-05,62.8333333333333,6.89207006969297
"FALSE POSITIVE",10620329,"K00066.01",0.9,97170,-1,19.913959,0,16.7391304347826,2.45488721804511
"FALSE POSITIVE",8669092,"K00068.01",0.1,113600,-1,18.79287,-3.973e-06,10.1714285714286,0
"CANDIDATE",3544595,"K00069.01",0.8744,67550,-0.17869,19.427878,-2.044e-05,149,2.21192516174156
"CANDIDATE",6850504,"K00070.01",0.7616,78050,-0.1782,19.179867,-2.59e-05,49.4444444444444,0.0734355573974306
"CANDIDATE",6850504,"K00070.02",0.8789,69650,-0.26338,19.179864,2.398e-05,49.4444444444444,0.952414275717285
"CANDIDATE",6850504,"K00070.03",0.7394,63120,-0.5771,19.179865,4.252e-05,49.4444444444444,3.44300518134715
